pitcherstatid,Player,Tm,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
247,Walker Buehler,LAD,24,23,0,0,137.1,95,40,151,37,12,8,5,0,1,0,2.62,0.96
248,Yimi Garcia,LAD,25,0,0,0,22.1,29,14,19,4,7,1,2,0,1,2,5.64,1.48
249,Zac Rosscup,LAD,17,0,0,0,11.1,9,6,20,4,3,0,1,0,1,1,4.76,1.15
250,Zach Neal,LAD,1,0,0,0,1,2,1,0,0,1,0,0,0,0,0,9,2
251,Adam Ottavino,COL,75,0,0,0,77.2,41,21,112,36,5,6,4,6,5,34,2.43,0.99
252,Antonio Senzatela,COL,23,13,0,0,90.1,94,44,69,30,10,6,6,0,0,0,4.38,1.37
253,Brooks Pounders,COL,14,0,0,0,15.1,25,13,17,2,3,0,1,0,1,0,7.63,1.76
254,Bryan Shaw,COL,61,0,0,0,54.2,70,36,54,28,9,4,6,0,5,13,5.93,1.79
255,Chad Bettis,COL,27,20,0,0,120.1,121,67,80,47,18,5,2,0,0,1,5.01,1.4
256,Chris Rusin,COL,49,0,0,0,54.2,56,37,47,26,7,2,3,0,1,7,6.09,1.5
257,D.J. Johnson,COL,7,0,0,0,6.1,6,3,9,2,0,1,0,0,0,0,4.26,1.26
258,German Marquez,COL,33,33,0,0,196,179,82,230,57,24,14,11,0,0,0,3.77,1.2
259,Harrison Musgrave,COL,35,0,0,0,44.2,36,23,32,22,7,2,3,0,0,5,4.63,1.3
260,Jake McGee,COL,61,0,0,0,51.1,59,37,47,16,10,2,4,1,2,14,6.49,1.46
261,Jeff Hoffman,COL,6,1,0,0,8.2,15,9,5,7,0,0,0,0,0,1,9.35,2.54
262,Jon Gray,COL,31,31,0,0,172.1,180,98,183,52,27,12,9,0,0,0,5.12,1.35
263,Kyle Freeland,COL,33,33,0,0,202.1,182,64,173,70,17,17,7,0,0,0,2.85,1.25
264,Mike Dunn,COL,25,0,0,0,17,22,17,12,18,1,0,0,0,0,5,9,2.35
265,Sam Howard,COL,4,0,0,0,4,5,1,1,3,0,0,0,0,0,0,2.25,2
266,Scott Oberg,COL,56,0,0,0,58.2,45,16,57,12,4,8,1,0,4,14,2.45,0.97
267,Tyler Anderson,COL,32,32,0,0,176,165,89,164,59,30,7,9,0,0,0,4.55,1.27
268,Wade Davis,COL,69,0,0,0,65.1,43,30,78,26,8,3,6,43,6,0,4.13,1.06
269,Yency Almonte,COL,14,0,0,0,14.2,15,3,14,4,1,0,0,0,0,3,1.84,1.3
270,Amir Garrett,CIN,66,0,0,0,63,56,30,71,25,8,1,2,0,2,21,4.29,1.29
271,Anthony DeSclafani,CIN,21,21,0,0,115,118,63,108,30,24,7,8,0,0,0,4.93,1.29
272,Austin Brice,CIN,33,0,0,0,37.1,39,24,32,13,9,2,3,0,0,3,5.79,1.39
273,Brandon Finnegan,CIN,5,5,0,0,20.2,27,17,14,15,5,0,3,0,0,0,7.4,2.03
274,Cody Reed,CIN,17,7,0,0,43,45,19,42,15,5,1,3,0,0,1,3.98,1.4
275,David Hernandez,CIN,57,0,0,0,64,46,18,65,17,6,5,2,0,6,15,2.53,0.98
276,Dylan Floro,CIN,25,0,0,0,36.1,39,11,27,12,2,3,2,0,0,1,2.72,1.4
277,Homer Bailey,CIN,20,20,1,0,106.1,141,72,75,33,23,1,14,0,0,0,6.09,1.64
278,Jackson Stephens,CIN,29,0,0,0,38.1,50,21,33,15,7,2,3,0,0,0,4.93,1.7
279,Jared Hughes,CIN,72,0,0,0,78.2,57,17,59,23,4,4,3,7,4,17,1.94,1.02
280,Jesus Reyes,CIN,5,0,0,0,5.2,4,2,2,2,1,0,0,0,0,0,3.18,1.06
281,Keury Mella,CIN,4,0,0,0,9.1,13,9,8,8,4,0,0,0,0,0,8.68,2.25
282,Kevin Quackenbush,CIN,10,0,0,0,9,13,11,7,6,3,0,1,0,0,0,11,2.11
283,Kevin Shackelford,CIN,5,0,0,0,8,13,7,7,4,0,0,1,0,1,0,7.88,2.13
284,Kyle Crockett,CIN,15,0,0,0,9.1,16,6,11,2,1,1,0,0,0,1,5.79,1.93
285,Luis Castillo,CIN,31,31,0,0,169.2,158,81,165,49,28,10,12,0,0,0,4.3,1.22
286,Matt Harvey,CIN,24,24,0,0,128,132,64,111,28,21,7,7,0,0,0,4.5,1.25
287,Michael Lorenzen,CIN,45,3,0,0,81,78,28,54,34,6,4,2,1,1,8,3.11,1.38
288,Raisel Iglesias,CIN,66,0,0,0,72,52,19,80,25,12,2,5,30,4,0,2.38,1.07
289,Robert Stephenson,CIN,4,3,0,0,11.2,17,12,11,12,2,0,2,0,0,0,9.26,2.49
290,Sal Romano,CIN,39,25,0,0,145.2,155,86,105,53,23,8,11,0,0,2,5.31,1.43
291,Tanner Rainey,CIN,8,0,0,0,7,13,19,7,12,4,0,0,0,0,0,24.43,3.57
292,Tyler Mahle,CIN,23,23,0,0,112,125,62,110,53,22,7,9,0,0,0,4.98,1.59
293,Wandy Peralta,CIN,59,0,0,0,45.1,58,27,31,31,2,2,2,0,0,7,5.36,1.96
294,Alec Mills,CHC,7,2,0,0,18,11,8,23,7,1,0,1,0,0,0,4,1
295,Allen Webster,CHC,3,0,0,0,3,2,2,3,1,1,1,0,0,0,0,6,1
296,Anthony Bass,CHC,16,0,0,0,15.1,18,5,14,3,1,0,0,0,0,3,2.93,1.37
297,Brandon Morrow,CHC,35,0,0,0,30.2,24,5,31,9,2,0,0,22,2,0,1.47,1.08
298,Brian Duensing,CHC,48,0,0,0,37.2,42,32,24,29,6,3,0,1,2,2,7.65,1.88
299,Carl Edwards Jr.,CHC,58,0,0,0,52,36,15,67,32,2,3,2,0,2,23,2.6,1.31
300,Cory Mazzoni,CHC,8,0,0,0,8.2,5,1,7,5,0,1,0,0,0,1,1.04,1.15
301,Dillon Maples,CHC,9,0,0,0,5.1,7,7,9,5,2,1,0,0,0,0,11.81,2.25
302,Duane Underwood,CHC,1,1,0,0,4,2,1,3,3,1,0,1,0,0,0,2.25,1.25
303,James Norwood,CHC,11,0,0,0,11,14,5,10,5,0,0,1,0,0,2,4.09,1.73
304,Jen-Ho Tseng,CHC,1,1,0,0,2,4,3,3,0,1,0,0,0,0,0,13.5,2
305,Jon Lester,CHC,32,32,0,0,181.2,174,67,149,64,24,18,6,0,0,0,3.32,1.31
306,Jose Quintana,CHC,32,32,0,0,174.1,162,78,158,68,25,13,11,0,0,0,4.03,1.32
307,Justin Hancock,CHC,10,0,0,0,12.1,5,2,11,9,1,0,0,0,0,0,1.46,1.14
308,Justin Wilson,CHC,71,0,0,0,54.2,45,21,69,33,5,4,5,0,3,16,3.46,1.43
309,Kyle Hendricks,CHC,33,33,0,0,199,184,76,161,44,22,14,11,0,0,0,3.44,1.15
310,Luke Farrell,CHC,20,2,0,0,31.1,30,18,39,16,7,3,4,0,1,1,5.17,1.47
311,Mike Montgomery,CHC,38,19,0,0,124,131,55,86,39,10,5,6,0,0,0,3.99,1.37
312,Pedro Strop,CHC,60,0,0,0,59.2,38,15,57,21,4,6,1,13,4,9,2.26,0.99
313,Randy Rosario,CHC,44,0,0,0,46.2,47,19,30,22,5,4,0,1,1,8,3.66,1.48
314,Rob Zastryzny,CHC,6,0,0,0,5.2,6,3,3,4,0,1,0,0,0,0,4.76,1.76
315,Steve Cishek,CHC,80,0,0,0,70.1,45,17,78,28,5,4,3,4,3,25,2.18,1.04
316,Tyler Chatwood,CHC,24,20,0,0,103.2,92,61,85,95,9,4,6,0,0,0,5.3,1.8
317,Yu Darvish,CHC,8,8,0,0,40,36,22,49,21,7,1,3,0,0,0,4.95,1.43
318,A.J. Minter,ATL,65,0,0,0,61.1,57,22,69,22,3,4,3,15,2,12,3.23,1.29
319,Adam McCreery,ATL,1,0,0,0,1,4,2,2,0,0,0,0,0,0,0,18,4
320,Anibal Sanchez,ATL,25,24,0,0,136.2,106,43,135,42,15,7,6,0,0,0,2.83,1.08
321,Arodys Vizcaino,ATL,39,0,0,0,38.1,30,9,40,15,4,2,2,16,2,1,2.11,1.17
322,Brandon McCarthy,ATL,15,15,0,0,78.2,94,43,65,21,15,6,3,0,0,0,4.92,1.46
323,Bryse Wilson,ATL,3,1,0,0,7,8,5,6,6,0,1,0,0,0,0,6.43,2
324,Chad Sobotka,ATL,14,0,0,0,14.1,5,3,21,9,2,1,0,0,0,1,1.88,0.98
325,Chase Whitley,ATL,1,0,0,0,1,2,2,1,1,1,0,0,0,0,0,18,3
326,Dan Winkler,ATL,69,0,0,0,60.1,52,23,69,20,3,4,0,2,3,23,3.43,1.19
327,Evan Phillips,ATL,4,0,0,0,6.1,6,6,3,4,3,0,0,0,0,0,8.53,1.58
328,Jesse Biddle,ATL,60,0,0,0,63.2,50,22,67,31,6,6,1,1,3,12,3.11,1.27
329,Jonny Venters,ATL,28,0,0,0,20.1,15,8,16,10,0,4,1,2,1,10,3.54,1.23
330,Jose Ramirez,ATL,7,0,0,0,6.1,9,12,7,8,0,0,2,0,0,0,17.05,2.68
331,Josh Ravin,ATL,2,0,0,0,3,2,2,1,2,0,0,1,0,0,0,6,1.33
332,Julio Teheran,ATL,31,31,0,0,175.2,122,77,162,84,26,9,9,0,0,0,3.94,1.17
333,Kolby Allard,ATL,3,1,0,0,8,19,11,3,4,3,1,1,0,0,0,12.38,2.88
334,Kyle Wright,ATL,4,0,0,0,6,4,3,5,6,2,0,0,0,0,0,4.5,1.67
335,Lucas Sims,ATL,6,0,0,0,10.1,12,9,10,8,2,0,0,0,1,0,7.84,1.94
336,Luiz Gohara,ATL,9,1,0,0,19.2,16,13,18,8,3,0,1,1,0,0,5.95,1.22
337,Luke Jackson,ATL,35,0,0,0,40.2,41,20,46,21,3,1,2,1,1,3,4.43,1.52
338,Matt Wisler,ATL,7,3,0,0,26.2,30,16,21,5,6,1,1,0,0,0,5.4,1.31
339,Max Fried,ATL,14,5,0,0,33.2,26,11,44,20,3,1,4,0,0,1,2.94,1.37
340,Miguel Socolovich,ATL,4,0,0,0,5,8,6,4,2,0,0,1,0,0,0,10.8,2
341,Mike Foltynewicz,ATL,31,31,2,1,183,130,58,202,68,17,13,10,0,0,0,2.85,1.08
342,Mike Soroka,ATL,5,5,0,0,25.2,30,10,21,7,1,2,1,0,0,0,3.51,1.44
343,Peter Moylan,ATL,39,0,0,0,28.1,32,14,23,18,4,0,1,0,1,3,4.45,1.76
344,Sam Freeman,ATL,63,0,0,0,50.1,41,24,58,32,3,3,5,0,3,9,4.29,1.45
345,Sean Newcomb,ATL,31,30,0,0,164,137,71,160,81,18,12,9,0,0,0,3.9,1.33
346,Shane Carle,ATL,53,0,0,0,63,50,20,43,27,2,4,1,1,1,14,2.86,1.22
347,Touki Toussaint,ATL,7,5,0,0,29,18,13,32,21,1,2,1,0,0,0,4.03,1.34
348,Wes Parsons,ATL,1,0,0,0,5,6,4,3,3,1,0,1,0,0,0,7.2,1.8
349,Andrew Chafin,ARI,77,0,0,0,49.1,41,17,53,25,0,1,6,0,0,17,3.1,1.34
350,Archie Bradley,ARI,76,0,0,0,71.2,62,29,75,20,9,4,5,3,8,34,3.64,1.14
351,Brad Boxberger,ARI,60,0,0,0,53.1,44,26,71,32,9,3,7,32,8,1,4.39,1.43
352,Braden Shipley,ARI,3,0,0,0,5,4,4,3,2,0,0,0,0,0,0,7.2,1.2
353,Clay Buchholz,ARI,16,16,1,0,98.1,80,22,81,22,9,7,2,0,0,0,2.01,1.04
354,Fernando Salas,ARI,41,0,0,0,40,40,20,30,13,5,4,4,0,0,4,4.5,1.33
355,Jake Barrett,ARI,7,0,0,0,7,8,4,6,2,1,0,1,0,0,0,5.14,1.43
356,Jimmie Sherfy,ARI,15,0,0,0,16.1,8,3,17,10,1,0,0,0,0,1,1.65,1.1
357,Joey Krehbiel,ARI,2,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,1
358,Jorge De La Rosa,ARI,42,0,0,0,35,37,18,27,19,6,0,2,0,1,6,4.63,1.6
359,Kris Medlen,ARI,1,1,0,0,4,9,7,4,4,0,0,1,0,0,0,15.75,3.25
360,Matt Koch,ARI,19,14,0,0,86.2,88,40,50,22,19,5,5,0,0,0,4.15,1.27
361,Patrick Corbin,ARI,33,33,1,1,200,162,70,246,48,15,11,7,0,0,0,3.15,1.05
362,Randall Delgado,ARI,10,0,0,0,11.1,11,6,5,6,3,2,0,0,1,0,4.76,1.5
363,Robbie Ray,ARI,24,24,0,0,123.2,97,54,165,70,19,6,2,0,0,0,3.93,1.35
364,Shelby Miller,ARI,5,4,0,0,16,24,19,19,8,5,0,4,0,0,1,10.69,2
365,Silvino Bracho,ARI,31,0,0,0,31,25,11,34,12,2,2,0,0,4,2,3.19,1.19
366,T.J. McFarland,ARI,47,0,0,0,72,64,16,42,22,4,2,2,1,0,1,2,1.19
367,Taijuan Walker,ARI,3,3,0,0,13,15,5,9,5,1,0,0,0,0,0,3.46,1.54
368,Troy Scribner,ARI,1,1,0,0,3.2,4,2,4,6,0,0,1,0,0,0,4.91,2.73
369,Yoan Lopez,ARI,10,0,0,0,9,7,3,11,1,2,0,0,0,0,1,3,0.89
370,Yoshihisa Hirano,ARI,75,0,0,0,66.1,49,18,59,23,6,4,3,3,4,32,2.44,1.09
371,Zack Godley,ARI,33,32,0,0,178.1,177,94,185,81,16,15,11,0,0,0,4.74,1.45
372,Zack Greinke,ARI,33,33,0,0,207.2,181,74,199,43,28,15,11,0,0,0,3.21,1.08
